Location	Latitude	Longitude	pH	EC	TDS
TA01	-6.911565191	107.7753386	4.8	0.33	246
TA02	-6.909919919	107.7739089	4.1	0.42	306
TA03	-6.911622602	107.7752822	4.6	0.37	270
TA04	-6.923259731	107.7795163	5.4	0.43	312
TA05	-6.909740587	107.7778903	5.1	0.25	176
TA06	-6.916611099	107.7798407	6	0.2	150
TA07	-6.910824901	107.7749794	5.1	0.12	97
TA08	-6.909882827	107.7765116	5.4	0.25	189
TA09	-6.909530094	107.778348	5.3	0.31	224
TA10	-6.909208049	107.7743476	4.5	0.11	85
TA11	-6.914132792	107.780042	5.2	0.16	122
TA12	-6.914351562	107.7799395	4.9	0.19	157
TA13	-6.909945056	107.7739756	3.8	0.39	286
TA14	-6.906786676	107.7813997	4.9	0.15	120
TA15	-6.91197908	    107.7794331	5	0.31	227
TA16	-6.911089366	107.7802174	5.4	0.19	149
